+------+--------------------+-------------+---------------+
| Rank |     Drug Name      | Target Name | Binding Score |
|  62  |     Quercetin      |    P10721   |      5.62     |
|  63  |     Quercetin      |    Q9NP59   |      5.62     |
|  64  | Cannabistilbene I  |    Q13510   |      5.61     |
|  65  |     Quercetin      |    B5A965   |      5.60     |
|  66  |      Luteolin      |    Q96S37   |      5.59     |
|  67  |     Quercetin      |    P01911   |      5.59     |
|  68  |     Quercetin      |    I7GSJ6   |      5.58     |
|  69  |    Cannflavin B    |    A2NVQ1   |      5.58     |
|  70  |     Hesperetin     |    Q13510   |      5.58     |
|  71  |     Quercetin      |    I7HDD9   |      5.57     |
|  72  |      Luteolin      |    A2NVQ0   |      5.57     |
|  73  |      Luteolin      |    Q08345   |      5.57     |
|  74  |     Quercetin      |    B5A977   |      5.57     |
|  75  |     Quercetin      |    P35968   |      5.56     |
|  76  |    Cannflavin C    |    P01889   |      5.55     |
|  77  |      Luteolin      |    Q96P31   |      5.55     |
|  78  |     Quercetin      |    P48736   |      5.55     |
|  79  | 6-prenylnaringenin |    P01889   |      5.55     |
|  80  |      Luteolin      |    B5A965   |      5.54     |
|  81  |    Cannflavin A    |    Q96S37   |      5.53     |
|  82  |      Luteolin      |    P07333   |      5.53     |
|  83  |     Quercetin      |    Q13546   |      5.52     |
|  84  |      Luteolin      |    Q5TBB1   |      5.52     |
|  85  |    Cannflavin B    |    P43405   |      5.52     |
|  86  |     Quercetin      |    E1CJT3   |      5.52     |
|  87  |      Luteolin      |    Q9NP59   |      5.52     |
|  88  |    Cannflavin A    |    A2NVQ0   |      5.52     |
|  89  |    Cannflavin B    |    P05231   |      5.51     |
|  90  |     Quercetin      |    Q9HBA0   |      5.51     |
|  91  |     Quercetin      |    P09619   |      5.50     |
|  92  |    Cannflavin A    |    B5A965   |      5.50     |
|  93  |    Cannflavin A    |    Q08345   |      5.50     |
|  94  |      Luteolin      |    P10721   |      5.50     |
|  95  |    Cannflavin A    |    Q96P31   |      5.50     |
|  96  | 6-prenylnaringenin |    B7VFE3   |      5.50     |
|  97  |     Canniprene     |    Q96S37   |      5.50     |
|  98  |     Quercetin      |    Q06187   |      5.49     |
|  99  |     Quercetin      |    Q30157   |      5.49     |
| 100  | Cannabistilbene I  |    P01889   |      5.49     |
| 101  |      Luteolin      |  A0A0A1I7H6 |      5.49     |
| 102  |      Luteolin      |    I7HDD9   |      5.49     |
| 103  |     Quercetin      |    Q4ZHG4   |      5.49     |
| 104  |     Canniprene     |    A2NVQ0   |      5.49     |
| 105  |      Luteolin      |    Q9MYB9   |      5.48     |
| 106  |     Quercetin      |    O95973   |      5.48     |
| 107  |     Quercetin      |    Q8WUM9   |      5.47     |
| 108  |     Quercetin      |    Q30036   |      5.47     |
| 109  |    Cannflavin A    |    Q5TBB1   |      5.47     |
| 110  |    Cannflavin A    |    Q9NP59   |      5.47     |
| 111  |     Canniprene     |    Q96P31   |      5.47     |
| 112  |      Luteolin      |    B5A977   |      5.47     |
| 113  |      Luteolin      |    I7GSJ6   |      5.47     |
| 114  |    Cannflavin B    |    B5A965   |      5.47     |
| 115  |     Canniprene     |    B5A965   |      5.46     |
| 116  |     Quercetin      |    Q6LBF4   |      5.46     |
| 117  |     Canniprene     |    Q08345   |      5.46     |
| 118  |    Cannflavin A    |    P07333   |      5.45     |
| 119  |     Quercetin      |  A0A5K1TT58 |      5.45     |
| 120  | 6-prenylnaringenin |    O75173   |      5.45     |
| 121  |    Cannflavin A    |    I7HDD9   |      5.44     |
| 122  |    Cannflavin B    |    Q96P31   |      5.44     |
| 123  |     Canniprene     |    Q9NP59   |      5.44     |
| 124  |     Quercetin      |  A0A1S6KJG4 |      5.44     |
| 125  |     Canniprene     |    Q5TBB1   |      5.44     |
| 126  |     Quercetin      |    Q9UP52   |      5.43     |
| 127  |     Hesperetin     |    P01889   |      5.43     |
| 128  |    Cannflavin A    |    B5A977   |      5.42     |
| 129  |     Canniprene     |    P07333   |      5.42     |
| 130  |     Canniprene     |    I7HDD9   |      5.42     |
| 131  |    Cannflavin A    |    P10721   |      5.42     |
| 132  |    Cannflavin A    |  A0A0A1I7H6 |      5.42     |
| 133  |     Quercetin      |    P01374   |      5.42     |
| 134  |    Cannflavin B    |    Q9NP59   |      5.41     |
| 135  |    Cannflavin A    |    I7GSJ6   |      5.41     |
| 136  |     Quercetin      |    Q16832   |      5.41     |
| 137  |    Cannflavin A    |    Q9MYB9   |      5.41     |
| 138  |     Quercetin      |    O00329   |      5.41     |
| 139  |     Quercetin      |    A0N5G5   |      5.40     |
| 140  |     Quercetin      |    Q30156   |      5.40     |
| 141  |      Luteolin      |    P35968   |      5.40     |
| 142  | Cannabistilbene I  |    B7VFE3   |      5.40     |
| 143  |      Luteolin      |    P01911   |      5.40     |
| 144  |     Quercetin      |    P80511   |      5.40     |
| 145  |    Cannflavin B    |    I7HDD9   |      5.40     |
| 146  |     Canniprene     |    B5A977   |      5.40     |
| 147  |    Cannflavin B    |    Q5TBB1   |      5.39     |
| 148  |    Cannflavin C    |    B7VFE3   |      5.39     |
| 149  |      Luteolin      |    O95973   |      5.39     |
| 150  |     Quercetin      |    Q92633   |      5.39     |
| 151  |     Canniprene     |  A0A0A1I7H6 |      5.39     |
| 152  |      Luteolin      |    Q4ZHG4   |      5.38     |
| 153  |     Canniprene     |    I7GSJ6   |      5.38     |
| 154  |      Luteolin      |    Q30036   |      5.38     |
| 155  |      Luteolin      |    P48736   |      5.38     |
| 156  |     Canniprene     |    P10721   |      5.38     |
| 157  |    Cannflavin B    |    A2NVQ0   |      5.38     |
| 158  |     Canniprene     |    Q9MYB9   |      5.38     |
| 159  |     Hesperetin     |    B7VFE3   |      5.37     |
| 160  |      Luteolin      |    Q13546   |      5.37     |
| 161  |     Quercetin      |    I7HB73   |      5.37     |
| 162  | 6-prenylnaringenin |    A2NVQ1   |      5.37     |
| 163  |      Luteolin      |    Q6LBF4   |      5.36     |
| 164  |     Quercetin      |    P01584   |      5.36     |
| 165  |      Luteolin      |    E1CJT3   |      5.36     |
| 166  |    Cannflavin B    |    B5A977   |      5.36     |
| 167  |     Quercetin      |    Q969H8   |      5.36     |
| 168  |     Quercetin      |    P41159   |      5.35     |
| 169  |     Quercetin      |    A0N5G4   |      5.35     |
| 170  |      Luteolin      |    Q8WUM9   |      5.35     |
| 171  |    Cannflavin A    |    O95973   |      5.35     |
| 172  |      Luteolin      |    Q9HBA0   |      5.35     |
| 173  |      Luteolin      |  A0A1S6KJG4 |      5.35     |
| 174  |    Cannflavin B    |    Q96S37   |      5.35     |
| 175  |    Cannflavin B    |    Q08345   |      5.34     |
| 176  |      Luteolin      |    Q9UP52   |      5.34     |
| 177  |    Cannflavin A    |    Q30036   |      5.34     |
| 178  |      Luteolin      |    P09619   |      5.34     |
| 179  |     Quercetin      |    P08581   |      5.33     |
| 180  |     Quercetin      |    I7GY82   |      5.33     |
| 181  |    Cannflavin A    |    P35968   |      5.33     |
| 182  |     Quercetin      |    P26651   |      5.33     |
| 183  |    Cannflavin A    |    P01911   |      5.33     |
| 184  |     Canniprene     |    O95973   |      5.33     |
| 185  |    Cannflavin A    |    Q4ZHG4   |      5.33     |
| 186  |      Luteolin      |    A0N5G5   |      5.32     |
| 187  |     Quercetin      |    P17948   |      5.32     |
| 188  |     Canniprene     |    Q30036   |      5.32     |
| 189  |    Cannflavin A    |    Q6LBF4   |      5.32     |
| 190  |     Quercetin      |    Q02223   |      5.32     |
| 191  |     Quercetin      |    P19438   |      5.32     |
| 192  |      Luteolin      |    Q30157   |      5.32     |
| 193  |     Quercetin      |    Q9UKP4   |      5.31     |
| 194  |     Quercetin      |    A2VED1   |      5.31     |
| 195  |    Cannflavin A    |    Q13546   |      5.31     |
| 196  |    Cannflavin A    |    P48736   |      5.30     |
| 197  |     Canniprene     |    P01911   |      5.30     |
| 198  |    Cannflavin B    |    I7GSJ6   |      5.30     |
| 199  |    Cannflavin A    |  A0A1S6KJG4 |      5.30     |
| 200  |     Canniprene     |    P35968   |      5.30     |
| 201  |      Luteolin      |    Q06187   |      5.30     |
| 202  |     Quercetin      |    C0LTP6   |      5.30     |
| 203  |     Quercetin      |    Q14839   |      5.30     |
| 204  |    Cannflavin A    |    E1CJT3   |      5.30     |
| 205  |    Cannflavin B    |    P10721   |      5.30     |
| 206  |     Canniprene     |    Q4ZHG4   |      5.29     |
| 207  |    Cannflavin A    |    Q8WUM9   |      5.29     |
| 208  |    Cannflavin A    |    Q9UP52   |      5.29     |
| 209  |      Luteolin      |  A0A5K1TT58 |      5.29     |
| 210  |     Canniprene     |    Q6LBF4   |      5.29     |
| 211  |      Luteolin      |    P01374   |      5.29     |
| 212  |    Cannflavin A    |    A0N5G5   |      5.29     |
| 213  |     Quercetin      |    O00421   |      5.28     |
| 214  |     Quercetin      |    A2NVP9   |      5.28     |
| 215  |    Cannflavin A    |    Q9HBA0   |      5.28     |
| 216  |      Luteolin      |    P01584   |      5.28     |
| 217  |     Quercetin      |    Q4LE39   |      5.28     |
| 218  |      Luteolin      |    P26651   |      5.28     |
| 219  |     Quercetin      |    P08887   |      5.28     |
| 220  |     Quercetin      |    B5A928   |      5.28     |
| 221  |    Cannflavin B    |    O95973   |      5.28     |
| 222  | Cannabistilbene I  |    O75173   |      5.28     |
| 223  |     Quercetin      |    Q8TDF6   |      5.28     |
| 224  | 6-prenylnaringenin |    B5A965   |      5.28     |
| 225  |     Hesperetin     |    O75173   |      5.28     |
| 226  |      Luteolin      |    P19438   |      5.28     |
| 227  |    Cannflavin A    |    P09619   |      5.27     |
| 228  |    Cannflavin B    |    P07333   |      5.27     |
| 229  |     Canniprene     |    Q13546   |      5.27     |
| 230  |      Luteolin      |    Q02223   |      5.27     |
| 231  |    Cannflavin C    |    A2NVQ1   |      5.27     |
| 232  |     Canniprene     |  A0A1S6KJG4 |      5.27     |
| 233  |     Quercetin      |    P22301   |      5.27     |
| 234  | Cannabistilbene I  |    A2NVQ1   |      5.27     |
| 235  |     Quercetin      |    A0RZF8   |      5.27     |
| 236  |     Canniprene     |    E1CJT3   |      5.26     |
| 237  |     Canniprene     |    Q8WUM9   |      5.26     |
| 238  | 6-prenylnaringenin |    P35916   |      5.26     |
| 239  |    Cannflavin B    |    Q30036   |      5.26     |
| 240  |     Canniprene     |    P48736   |      5.26     |
| 241  |     Quercetin      |    O60880   |      5.26     |
| 242  |     Canniprene     |    Q9UP52   |      5.26     |
| 243  |     Canniprene     |    A0N5G5   |      5.26     |
| 244  |      Luteolin      |    A0N5G4   |      5.26     |
| 245  |     Quercetin      |    Q8NI89   |      5.25     |
| 246  |      Luteolin      |    Q9UKP4   |      5.25     |
| 247  |    Cannflavin A    |    Q30157   |      5.25     |
| 248  |     Quercetin      |    P45452   |      5.25     |
| 249  |     Quercetin      |    Q30047   |      5.25     |
| 250  |     Canniprene     |    Q9HBA0   |      5.25     |
| 251  |      Luteolin      |    Q16832   |      5.25     |
| 252  |     Quercetin      |    Q9BX67   |      5.25     |
| 253  | 6-prenylnaringenin |    B5A964   |      5.25     |
| 254  |    Cannflavin A    |    P26651   |      5.24     |
| 255  |    Cannflavin B    |  A0A0A1I7H6 |      5.24     |
| 256  |     Quercetin      |    P35590   |      5.24     |
| 257  |     Canniprene     |    P09619   |      5.24     |
| 258  |    Cannflavin A    |    P19438   |      5.24     |
| 259  |      Luteolin      |    Q30156   |      5.24     |
| 260  |    Cannflavin A    |    Q02223   |      5.24     |
| 261  |      Luteolin      |    P80511   |      5.24     |
| 262  |     Quercetin      |    O75370   |      5.24     |
| 263  |    Cannflavin A    |    P01584   |      5.24     |
| 264  |    Cannflavin B    |    Q9MYB9   |      5.24     |
| 265  |      Luteolin      |    I7HB73   |      5.24     |
| 266  |     Hesperetin     |    A2NVQ1   |      5.23     |
| 267  |      Luteolin      |    P08887   |      5.23     |
| 268  |      Luteolin      |    B5A928   |      5.23     |
| 269  |     Quercetin      |    A2VED2   |      5.23     |
| 270  |    Cannflavin A    |    P01374   |      5.23     |
| 271  |     Quercetin      |    P06702   |      5.23     |
| 272  |    Cannflavin A    |    Q06187   |      5.23     |
| 273  |    Cannflavin A    |  A0A5K1TT58 |      5.23     |
| 274  |      Luteolin      |    O00329   |      5.23     |
| 275  |    Cannflavin B    |    Q6LBF4   |      5.23     |
| 276  |     Quercetin      |    Q13444   |      5.23     |
| 277  |    Cannflavin B    |    Q4ZHG4   |      5.22     |
| 278  |    Cannflavin C    |    O75173   |      5.22     |
| 279  |     Quercetin      |    Q8N4C6   |      5.22     |
| 280  |      Luteolin      |    P22301   |      5.22     |
| 281  |      Luteolin      |    Q92633   |      5.22     |
| 282  |     Quercetin      |    P55774   |      5.22     |
| 283  |     Canniprene     |    Q30157   |      5.22     |
| 284  |     Canniprene     |    P26651   |      5.22     |
| 285  |     Quercetin      |    B5A948   |      5.22     |
| 286  |     Quercetin      |    Q30048   |      5.22     |
| 287  |     Quercetin      |    Q04912   |      5.22     |
| 288  |      Luteolin      |    Q969H8   |      5.22     |
| 289  |     Canniprene     |    Q02223   |      5.21     |
| 290  |     Canniprene     |    P19438   |      5.21     |
| 291  |    Cannflavin A    |    Q9UKP4   |      5.21     |
| 292  |     Quercetin      |    P16112   |      5.21     |
| 293  |     Quercetin      |    P98066   |      5.21     |
| 294  |     Canniprene     |    P01584   |      5.21     |
| 295  |      Luteolin      |    O60880   |      5.21     |
| 296  |    Cannflavin B    |  A0A1S6KJG4 |      5.21     |
| 297  | 6-prenylnaringenin |    I7HDD9   |      5.21     |
| 298  |    Cannflavin A    |    A0N5G4   |      5.21     |
| 299  |    Cannflavin C    |    B5A964   |      5.21     |
| 300  |    Cannflavin B    |    A0N5G5   |      5.20     |
| 301  | 6-prenylnaringenin |    Q96P31   |      5.20     |
| 302  |    Cannflavin B    |    P19438   |      5.20     |
| 303  |     Canniprene     |    P01374   |      5.20     |
| 304  |    Cannflavin B    |    Q9UP52   |      5.20     |
| 305  |     Canniprene     |    Q06187   |      5.20     |
| 306  |    Cannflavin A    |    P08887   |      5.20     |
| 307  |     Canniprene     |  A0A5K1TT58 |      5.20     |
| 308  |    Cannflavin A    |    B5A928   |      5.20     |
| 309  |      Luteolin      |    Q30047   |      5.20     |
| 310  |      Luteolin      |    Q9BX67   |      5.19     |
| 311  |    Cannflavin B    |    Q02223   |      5.19     |
| 312  |      Luteolin      |    P41159   |      5.19     |
| 313  |     Quercetin      |    Q13651   |      5.19     |
| 314  |    Cannflavin A    |    P22301   |      5.19     |
| 315  |    Cannflavin B    |    P26651   |      5.19     |
| 316  |     Quercetin      |    I7H3Z5   |      5.19     |
| 317  |     Quercetin      |    Q30201   |      5.19     |
| 318  |     Quercetin      |    Q14789   |      5.18     |
| 319  |    Cannflavin A    |    Q16832   |      5.18     |
| 320  |    Cannflavin A    |    I7HB73   |      5.18     |
| 321  |    Cannflavin B    |    P35968   |      5.18     |
| 322  | 6-prenylnaringenin |    Q9NP59   |      5.18     |
| 323  |     Canniprene     |    A0N5G4   |      5.18     |
| 324  |     Canniprene     |    Q9UKP4   |      5.18     |
| 325  |    Cannflavin A    |    Q30156   |      5.18     |
| 326  |    Cannflavin B    |    Q8WUM9   |      5.18     |
| 327  |    Cannflavin A    |    O60880   |      5.18     |
| 328  |    Cannflavin A    |    P80511   |      5.18     |
| 329  |     Quercetin      |    P58397   |      5.18     |
| 330  | Cannabistilbene I  |    B5A964   |      5.18     |
| 331  |     Canniprene     |    P08887   |      5.17     |
| 332  |      Luteolin      |    O75370   |      5.17     |
| 333  |      Luteolin      |    P55774   |      5.17     |
| 334  |     Canniprene     |    B5A928   |      5.17     |
| 335  |      Luteolin      |    Q8TDF6   |      5.17     |
| 336  |      Luteolin      |    P17948   |      5.17     |
| 337  |      Luteolin      |    I7GY82   |      5.17     |
| 338  |      Luteolin      |    A2VED2   |      5.17     |
| 339  |     Canniprene     |    P22301   |      5.17     |
| 340  |    Cannflavin B    |    P48736   |      5.17     |
| 341  |    Cannflavin B    |    Q13546   |      5.17     |
| 342  |      Luteolin      |    P08581   |      5.17     |
| 343  |    Cannflavin B    |    P01911   |      5.17     |
| 344  |    Cannflavin C    |    P35916   |      5.17     |
| 345  |    Cannflavin A    |    Q30047   |      5.17     |
| 346  |     Quercetin      |    Q96P20   |      5.16     |
| 347  |     Quercetin      |    Q99571   |      5.16     |
| 348  |     Quercetin      |    P01589   |      5.16     |
| 349  |    Cannflavin A    |    Q9BX67   |      5.16     |
| 350  |    Cannflavin A    |    O00329   |      5.16     |
| 351  |     Quercetin      |    A5LIN1   |      5.16     |
| 352  |     Quercetin      |    A0RZG0   |      5.16     |
| 353  |    Cannflavin A    |    Q92633   |      5.16     |
| 354  |      Luteolin      |    P06702   |      5.16     |
| 355  |     Canniprene     |    O60880   |      5.16     |
| 356  |     Canniprene     |    I7HB73   |      5.16     |
| 357  |    Cannflavin B    |    E1CJT3   |      5.16     |
| 358  |    Cannflavin A    |    Q969H8   |      5.16     |
| 359  |      Luteolin      |    Q30048   |      5.15     |
| 360  |    Cannflavin B    |    P01584   |      5.15     |
| 361  |     Canniprene     |    Q16832   |      5.15     |
| 362  |     Quercetin      |    Q3KP44   |      5.15     |
| 363  |      Luteolin      |    A2VED1   |      5.15     |
| 364  |     Quercetin      |    A0RZF9   |      5.15     |
| 365  |    Cannflavin B    |    P08887   |      5.15     |
| 366  | Cannabistilbene I  |    P35916   |      5.15     |
| 367  |     Canniprene     |    P80511   |      5.15     |
| 368  |     Canniprene     |    Q30156   |      5.15     |
| 369  |      Luteolin      |    Q30201   |      5.15     |
| 370  |    Cannflavin B    |    B5A928   |      5.15     |
| 371  |      Luteolin      |    C0LTP6   |      5.15     |
| 372  | Cannabistilbene I  |    B5A965   |      5.15     |
| 373  |    Cannflavin A    |    P55774   |      5.14     |
| 374  |    Cannflavin B    |    P22301   |      5.14     |
| 375  |    Cannflavin B    |    Q9UKP4   |      5.14     |
| 376  |     Canniprene     |    Q30047   |      5.14     |
| 377  |      Luteolin      |    Q14839   |      5.14     |
| 378  |    Cannflavin B    |    Q9HBA0   |      5.14     |
| 379  |     Hesperetin     |    B5A965   |      5.14     |
| 380  |      Luteolin      |    A0RZF8   |      5.14     |
| 381  |     Quercetin      |    A0N5G7   |      5.14     |
| 382  |     Canniprene     |    Q9BX67   |      5.14     |
| 383  |    Cannflavin B    |    P09619   |      5.14     |
| 384  |     Hesperetin     |    B5A964   |      5.14     |
| 385  |    Cannflavin A    |    O75370   |      5.13     |
| 386  |     Canniprene     |    O00329   |      5.13     |
| 387  |    Cannflavin A    |    P41159   |      5.13     |
| 388  |     Canniprene     |    Q969H8   |      5.13     |
| 389  |      Luteolin      |    A2NVP9   |      5.13     |
| 390  |     Canniprene     |    Q92633   |      5.13     |
| 391  |    Cannflavin A    |    A2VED2   |      5.13     |
| 392  |    Cannflavin A    |    Q8TDF6   |      5.13     |
| 393  |      Luteolin      |    Q4LE39   |      5.13     |
| 394  |     Quercetin      |    P48960   |      5.13     |
| 395  |      Luteolin      |    Q96P20   |      5.12     |
| 396  |     Quercetin      |    Q8N6P7   |      5.12     |
| 397  |    Cannflavin B    |    O60880   |      5.12     |
| 398  |     Canniprene     |    P55774   |      5.12     |
| 399  |    Cannflavin B    |    P01374   |      5.12     |
| 400  | 6-prenylnaringenin |    Q5TBB1   |      5.12     |
| 401  |    Cannflavin B    |    A0N5G4   |      5.12     |
| 402  |      Luteolin      |    O00421   |      5.12     |
| 403  | Cannabistilbene I  |    I7HDD9   |      5.12     |
| 404  |    Cannflavin A    |    P06702   |      5.12     |
| 405  |    Cannflavin A    |    Q30201   |      5.12     |
| 406  | 6-prenylnaringenin |    B5A977   |      5.11     |
| 407  |    Cannflavin C    |    I7HDD9   |      5.11     |
| 408  |    Cannflavin C    |    Q96P31   |      5.11     |
| 409  | 6-prenylnaringenin |    P43405   |      5.11     |
| 410  |    Cannflavin A    |    Q30048   |      5.11     |
| 411  |    Cannflavin A    |    I7GY82   |      5.11     |
| 412  |     Hesperetin     |    P35916   |      5.11     |
| 413  |    Cannflavin A    |    P17948   |      5.11     |
| 414  |    Cannflavin A    |    P08581   |      5.11     |
| 415  | Cannabistilbene I  |    Q96P31   |      5.11     |
| 416  |    Cannflavin B    |    Q30157   |      5.11     |
| 417  |     Canniprene     |    O75370   |      5.11     |
| 418  |      Luteolin      |    Q8NI89   |      5.10     |
| 419  |      Luteolin      |    P35590   |      5.10     |
| 420  |      Luteolin      |    Q13651   |      5.10     |
| 421  |     Canniprene     |    A2VED2   |      5.10     |
| 422  |    Cannflavin B    |  A0A5K1TT58 |      5.10     |
| 423  |     Canniprene     |    Q8TDF6   |      5.10     |
| 424  |    Cannflavin B    |    Q30047   |      5.10     |
| 425  |    Cannflavin C    |    B5A965   |      5.10     |
| 426  |     Canniprene     |    P41159   |      5.10     |
| 427  |      Luteolin      |    Q3KP44   |      5.10     |
| 428  |    Cannflavin C    |    Q9NP59   |      5.10     |
| 429  | Cannabistilbene I  |    Q9NP59   |      5.10     |
| 430  |    Cannflavin A    |    A0RZF8   |      5.10     |
| 431  |    Cannflavin C    |    P05231   |      5.10     |
| 432  |     Quercetin      |    P14784   |      5.10     |
| 433  |    Cannflavin A    |    Q96P20   |      5.09     |
| 434  |     Hesperetin     |    I7HDD9   |      5.09     |
| 435  |    Cannflavin A    |    C0LTP6   |      5.09     |
| 436  |      Luteolin      |    A0N5G7   |      5.09     |
| 437  |    Cannflavin B    |    Q9BX67   |      5.09     |
| 438  |      Luteolin      |    P01589   |      5.09     |
| 439  |     Quercetin      |    P49747   |      5.09     |
| 440  |      Luteolin      |    Q8N4C6   |      5.09     |
| 441  |     Quercetin      |    P29317   |      5.09     |
| 442  |     Canniprene     |    Q30201   |      5.09     |
| 443  |    Cannflavin A    |    A2VED1   |      5.09     |
| 444  |    Cannflavin A    |    Q14839   |      5.09     |
| 445  |     Canniprene     |    P06702   |      5.09     |
| 446  | 6-prenylnaringenin |    P05231   |      5.09     |
| 447  |     Quercetin      |    A0N5G1   |      5.09     |
| 448  |     Canniprene     |    Q30048   |      5.09     |
| 449  |    Cannflavin B    |    P55774   |      5.09     |
| 450  |      Luteolin      |    P98066   |      5.09     |
| 451  |      Luteolin      |    P16112   |      5.09     |
| 452  |    Cannflavin B    |    I7HB73   |      5.09     |
| 453  |      Luteolin      |    B5A948   |      5.09     |
| 454  |      Luteolin      |    Q13444   |      5.08     |
| 455  |     Canniprene     |    I7GY82   |      5.08     |
| 456  |     Canniprene     |    P17948   |      5.08     |
| 457  |     Hesperetin     |    Q96P31   |      5.08     |
| 458  |     Canniprene     |    P08581   |      5.08     |
| 459  |     Quercetin      |    Q9HC29   |      5.08     |
| 460  |    Cannflavin A    |    Q4LE39   |      5.08     |
| 461  |     Quercetin      |    P02786   |      5.07     |
| 462  |    Cannflavin B    |    Q30201   |      5.07     |
| 463  |    Cannflavin A    |    A2NVP9   |      5.07     |
| 464  |     Canniprene     |    A0RZF8   |      5.07     |
| 465  |     Hesperetin     |    Q9NP59   |      5.07     |
| 466  |    Cannflavin A    |    Q3KP44   |      5.07     |
| 467  |     Quercetin      |    Q53HY9   |      5.07     |
| 468  |     Canniprene     |    Q96P20   |      5.07     |
| 469  |      Luteolin      |    Q14789   |      5.07     |
| 470  |      Luteolin      |    P45452   |      5.07     |
| 471  |     Canniprene     |    C0LTP6   |      5.07     |
| 472  |      Luteolin      |    Q04912   |      5.07     |
| 473  |     Quercetin      |    P20810   |      5.07     |
| 474  |    Cannflavin B    |    O75370   |      5.06     |
| 475  |     Canniprene     |    Q14839   |      5.06     |
| 476  |    Cannflavin A    |    A0N5G7   |      5.06     |
| 477  |     Canniprene     |    A2VED1   |      5.06     |
| 478  |    Cannflavin A    |    O00421   |      5.06     |
| 479  |    Cannflavin B    |    Q06187   |      5.06     |
| 480  |    Cannflavin A    |    Q13651   |      5.06     |
| 481  |      Luteolin      |    Q99571   |      5.06     |
| 482  |      Luteolin      |    A0RZG0   |      5.06     |
| 483  |    Cannflavin B    |    Q96P20   |      5.06     |
| 484  |     Quercetin      |    P0DJI8   |      5.06     |
| 485  |    Cannflavin B    |    A2VED2   |      5.06     |
| 486  |      Luteolin      |    P48960   |      5.06     |
| 487  |    Cannflavin A    |    P35590   |      5.06     |
